aspect,count,avg_stars,neg_share,neg_count
Sound/Audio,3576,4.425055928411633,0.08109619686800895,290
Build/Durability,1818,4.4438943894389435,0.07150715071507151,130
Comfort/Fit,1589,3.9893014474512274,0.1529263687853996,243
Battery/Longevity,1546,4.327296248382924,0.10155239327296249,157
Price/Value,1194,4.117252931323283,0.16415410385259632,196
Connectivity/Bluetooth,1061,4.26861451460886,0.1281809613572102,136
Noise Isolation,933,4.491961414790997,0.06645230439442658,62
Other,653,4.084226646248085,0.18529862174578868,121
Mic/Calls,615,4.16910569105691,0.15284552845528454,94
Accessories/Case,378,4.068783068783069,0.18518518518518517,70
Controls/Buttons,269,3.962825278810409,0.17472118959107807,47
Charging/Port,268,3.7388059701492535,0.23134328358208955,62
Portability/Foldability,230,4.682608695652174,0.0391304347826087,9
