cluster_id,top_terms,count
0,"el, la, lo, en, es, que, para, batería, una, muy",25
1,"camera, phone, iphone, worth, en, love, amazing, app, หน, je",62
2,"ได, ไม, นค, แต, ดส, เคร, นท, ออเดอร, างด, าก",19
3,"มค, ทธ, ประส ทธ, ประส, ภาพ, ทธ ภาพ, ความค, ความค มค, นค, มาก",29
4,"und, das, ich, die, ist, der, es, nicht, sehr, habe",43
5,"delivery, order, receive, seller, fast delivery, fast, 10, item, packaging, promise",26
6,"good, like, phone, apple, service, quality, thumbs_up, performance, far, iphone",18
7,"great, phone, new, need, new phone, year, battery, iphone, just, life",21
8,"nice, work, performance, great, verizon, really, phone, recommend, screen, camera",12
9,"quality, good, performance, quality good, thumbs_up_light_skin_tone, eta, fast, order, product, delivery",12
10,"pro, max, pro max, iphone, 17, 17 pro, iphone 17, 16 pro, 16, 15 pro",36
