review_text,stars,date
"I ordered beats solo3 Rose Gold And the color is awesome ! Black Friday sales for $69.00
Got a 3 year protection plan for only $12.00!
Sound quality is great! Lots of Bass , clearly hearing quality, bold.
Connects to Bluetooth well for wireless .
Power cord included: Micro USB to USB
No charge brick included .
These can also plug into and connect to your computer or phone with an Audio cable/aux cord cable. Not included.
These are great quality but let me tell you
When you put them on they are tight on your head. They hurt the ears after about an hour of wearing them.
Overall I give them a 3 out of 5
Star rating only because there so tight.
Everything else is good.
These have the Apple W1 Headphone chip
Allows easy Bluetooth connecting between apple devices . Allows no latency.
Allows for long battery life.
40 hours of charge on these beats solo3
If the battery is Down low. You can charge them 5minutes and get a quick 3hrs battery build up on Beats Solo 3. To fully charge takes 2.5 hours.
Everything u need in headphones is here . Cons- really tight on head . And can hurt ears",Rated 3.0 out of 5,10 months ago
"I personally love them, they’re very simple to use. I do have sensitive ears so after a while they do get sore, but my ears get sore with AirPods and any normal earbuds anyway. They also do slip off my head when working out, granted I have to be looking down or something, which I believe any headphones would do. However as a girlie with long hair depending on how I wear it my hair does go with it when I’m taking them off, sometimes I don’t notice sometimes it wraps around and I have to unknot it or whatever. So be mindful of that, cause there is a gap between the head strap (idk what it’s called) and the part that covers your ears with the padding - that’s where my hair tangles and gets stuck. Also if you play them at a certain volume you can hear it. But I do love them, the color is pretty, I don’t regret it despite everything I said LOL",Rated 5.0 out of 5,10 months ago
"The plush padding and light fabric headband feel really nice. The ear cups feel amazing—they’re, without a doubt, my favorite thing about the headset. They are comfortable, and you can easily pop off the padding to replace them as needed. The AirPods Max plays the part of luxury headphones extremely well. The stainless steel headband and aluminum ear cups feel sturdy, and I don’t feel like they’ll break if I toss them in my backpack. All that metal means the AirPods Max is also really heavy, weighing in at 385 grams. That’s much heavier than the other top noise canceling headphones we’ve tested, and you feel it. That’s not to say these aren’t comfortable, though. The headband is brilliantly engineered to distribute the weight evenly. This allows you to mix and match colors, though you’ll have to shell out another $69 if you want to go that route. Great sound quality and battery life!!",Rated 4.0 out of 5,11 months ago
"Nice earphones. The sound quality is great, though I do wish the volume were a bit louder. They do make my outer ears ache from the pressure, but with some adjustment, they become comfortable again for a while. I mainly use them when I go shopping or to restaurants to block out background noise which can irritate me quickly and I listen to music and stories while I eat or shop because I have some sensory defense issues. While they don’t cancel out the noise, they drown it out enough for me to be at ease in my surroundings, generally. I saw these on a 2024 Black Friday deal for $69.99 and couldn’t pass them up. The Bluetooth is stable too and I haven’t had to charge them since I got them November (then again, I don’t use them heavily or daily), so the battery life for my light is them is more than adequate. I got these rose gold ones which are really pretty and girly.",Rated 5.0 out of 5,9 months ago
"I’ve wanted a pair of these for awhile cuz I literally listen to music 24/7 no matter where I’ll have it playing either over my Bluetooth speaker, my Bluetooth sound bars, or if I’m out an about I have it playing over my earbuds! With the way everyone was talking about these when they first came out I thought these were top notch and they were really good……….I really don’t know what all the hype was and an is all about with these?! Cuz honestly I don’t really care for these; like at all!! There’s no option for noise cancellation so therefore you can hear every little noise and the bass is just meh. The battery life is okay but not the best. If you’re on phone call the people on the other end can barely hear you so you feel like you’re screaming the whole time just to make sure they hear you. But the volume level is quite decent an impressive as far as if you were listening to music. I’m just going to give these to my son and return the other pair (I also bought a pair of the rose gold ones) %26 just stick to my $40 “onn” brand “bean” earbuds that are 100 times better then these are!",Rated 5.0 out of 5,10 months ago
"The sound is flat and quite unimpressive. Not what I had imagined at all. Which was clarity, and some bass level, with full coverage over my ears to keep outside noise to a low. Nope. Took them on a walk around the block, could hear the head set swooshing around every step of the way over the music. Disappointed!! I have the Beats ear buds, the wired ones. They are so much better that these Solo3. The ear muffler hurts my ear, they don’t fit quite right it’s weird. I tried with my son, and they said they seemed small. Save your money. I even bought a cheap pair for $18.99, figuring anything would be better. And you know what ? I was right! My 18.99 are AMAZING. I was shocked ! These are better than Beats Solo3 hands down. Get them before they’re gone, and at this price. I am confident you will not be let down !!",Rated 1.0 out of 5,10 months ago
"I like this product because for the most part it does what it says it does. pairing it with my phone was very simple. I used it for 24 hours one day, still had plenty of battery life without recharging. As for clarity, The sound is very clear. I like the amount of bass I can hear when I am listening to music. The only problem I have with the headset is sometimes it will slip off my head when I bend over or lean forward. I am able to hear noise sometimes when I using it coming from outside, not in the headset. I have experienced pain around my ears while using it. I just take a break from wearing it or reposition it away from the painful area.
And yes I have recommended it to people. If I needed to, I would buy it again.",Rated 5.0 out of 5,9 months ago
"First of all, I'd like to say I've been eyeing these headphones for a minute they were $99 originally and I called them on sale for $69 and I bought down them overnight the next day I tried them out. The sound quality is awesome. The Comfort on the ears is comfortable. The connection is great the Battery Life was amazing as well because you don't have to charge them as frequent. The base was basing, so I'm pleased with that as well. The only thing I would be concerned about is the Folding of the headphones if you're not careful, you could break them the bass was bassing , so I’m pleased with that as well. The only thing I would be concerned about is the Folding of the headphones if you’re not careful, you could break them. overall, I'm pleased with my purchase and I'm very happy that I purchased them. Thanks Beats.",Rated 5.0 out of 5,10 months ago
"The headphones are good but um, they leak like a lot. Um, that's the only thing that's not good about them but everything else is fine. I just hate the fact that they leak yeah that's the only thing that sucks about them, but they're pretty good. I love the color and stuff. The white part kinda get kinda dirty fast so I'll be ready. Recommend recommend the black ones but hey, get the color that you like the best but they do leak so just letting you know but overall they're good. I just hate like I just said but yeah I love you so much. I'll wear them every day and they kinda hurt at the wearing them in a while so another thing but they're pretty good. Love them lots thank you. The headphones are good but um, they leak like a lot. Um, that’s the only thing that’s not good about them but everything else is fine. I just hate the fact that they leak yeah that’s the only thing that sucks about them, but they’re pretty good. I love the color and stuff. The white part kinda get kinda dirty fast so I’ll be ready. Recommend recommend the black ones but hey, get the color that you like the best but they do leak so just letting you know but overall they’re good. I just hate like I just said but yeah I love you so much. I’ll wear them every day and they kinda hurt at the wearing them in a while so another thing but Internet they’re pretty good. Love them lots thank you.",Rated 3.0 out of 5,8 months ago
"I brought these for my 10yr old and she loves them. They are the beautiful soft pink that she likes and the sound is great. She can easily connect to all her devices and has had no issues with them as far as sound and quality. The battery lasts her about 2-3 days with one charge, that’s a plus!

The issues that is noted: they are not comfortable with glasses and they hurt your ears after a while. This, you are not able to wear them long because of how uncomfortable it gets on the ears and side of the head. Again, if you wear glasses these are not that comfortable.

Overall, I would purchase again but I would have a backup earbud to alternate between.",Rated 4.0 out of 5,8 months ago
The sound quality is GREAT. It has lots of bass and I’ve never had a problem with the sound quality in my 2 years with this product. I take them everywhere and they help cancel out noise. BUT the quality of the headphones itself SUCKS. Both sides of the headphones are broken. So now I have to secure it with tape and idk how but one side is stuck after taping it. I don’t think it’s made for thick kinky hair/locs. My sister and my cousin have experienced this. They no longer own theirs. If they ever sell these again or you’re thinking about getting a similar pair only get them on sale cuz they’ll break sooner or later.,Rated 2.0 out of 5,10 months ago
"I bought this pair for my sister because it was on sale for Black Friday. However, I own a pair myself and I have to warn you if you have a big head, these will squeeze your ears until you have a headache and have to take them off. My ears last about 1 hour with these, then I have to take them off for relief. They do produce excellent sound though way better than Bose which I wanted to throw in the trash especially considering I paid about 2-3 times more for Bose and I might as well have bought a $30 pair of earphones for how bad that sound was. However, the battery life was great with Beats and they charge well overnight. Be warned though, I have a small head and these must have been built for a child.",Rated 3.0 out of 5,10 months ago
"The battery life is great, has lasted me a long while for days on end without charging.
The noise cancellation is a little lower than expected, does not completely block out noise and kind of hurts when the volume is put all the way up, might just be a me thing.
Phone calls can’t be heard on the other end. I can call on it tho and as well as answer phone calls but the person on the phone can’t hear me unless I yell.
After about 10 minutes of using it the ear muff let starts making my ears hurt a lot and it’s uncomfortable to wear.
The audio is great and very clear!",Rated 3.0 out of 5,10 months ago
"The Beats by Dr. Dre Solo3 is a solid choice for those who prioritize style and long battery life. It offers decent sound quality and a comfortable fit, making it a good option for everyday use.

However, if you're looking for the best possible sound quality or a more budget-friendly option, other headphones on the market might be a better fit. Pros:

Stylish design.
Long battery life.
Fast charging.
Good noise cancellation.
Comfortable to wear.

Cons:
Can be a bit bass-heavy for some.
Pricey compared to some competitors.",Rated 5.0 out of 5,10 months ago
"i haven't bought a pair of Beats because i just can't justify spending 300 dollars on a pair of headphones when i can get a cheap pair that works just as good. So when i saw these go on sale for 69, i couldn't pass it up as i was in the market for new headphones and have always wanted a pair.

i got everything set up, and the sound was no better than the cheap ones I've bought. i was expecting crazy good bass and a different sound, not so much. Needless to say, i was a bit disappointed when i could have waited for a pair of Bose to go on sale that i know are top quality. they are nice headphones, and the sound is just ok...normal for any headphones I've bought.

Box says 40-hour battery time. i set up and played 2 songs, and the battery was already at 74%. And i fully charged before doing anything with them. I wear headphones for 9 hours straight at work. Is the battery even going to make it? you also have to buy a cord separately if your battery is dying and still need to use them... seriously?

I am a bit disappointed. These were not what i was expecting from all the hype about them. Especially something by Dre i expected more.

i cant update after this but i just hope the battery lasts longer than it did today.",Rated 3.0 out of 5,10 months ago
"This is my second pair of Beats Solo 3 over the ear headphones. I am a bit of an audiophile and these are great to listen to music with, listen to streaming shows or have phone call.

The audio doesn’t seem as compressed or at least seems to be a fuller sound than other headphones %26 AirPods.

My first pair is still functional %26 charging. I wear the headphones mowing, biking %26 exercising so the material on the ear pads have started to break down. Those can be replaced for 20$. These were a Black Friday purchase for 69$. Given that the first pair has lasted for 7 years, I was willing to buy them again just in a different color.",Rated 5.0 out of 5,10 months ago
"I purchased black Beats Solo3 headphones on black Friday as Christmas gifts. The sound is wonderful
and the look is nice. Unfortunately, they are giving me headaches. I've worn them three times, and each time I am in pain after 10 minutes of wear. They are heavy on the top of my head, applying an unnecessary amount of pressure. I've adjusted the headband, but that does no good. I have a couple of weeks before the return window closes, so I'm going to try some of the suggestions I found online to try to achieve a more comfortable fit🤞",Rated 3.0 out of 5,9 months ago
"Great sounding headphones. They glitch sometimes though. The audio cuts out at random on a song and doesn’t come back until you’ve turned them off and back on a few times.
Your voice can be heard clear on calls
Bass is booming
Charging last a good while
Music on the headphones sound great overall.
Be mindful of your listening time and volume though. These headphones will start to make your ears sore after a while if you wear them for a long period of time",Rated 4.0 out of 5,9 months ago
I love the sound and the quality! The noise cancelling is awesome too I don’t hear much of anything when watching my shows or movies! I love how the battery life is long and don’t have to charge very often either! And what I love also is the built in microphone and that it comes with the cutest and soft case! It’s perfect for someone who wants the noise cancelling and not have ear buds in your ears but fit perfectly over your head I’m so happy they lowered the price!,Rated 5.0 out of 5,9 months ago
"Wanted music to mow lawn and on walks. So easy, just turn on the headphones (which were fully charged upon receiving) have phone find the device and connect via bluetooth. Headphones fit great, with firm seal to keep out external noise and sound quality of music from library on phone to headphones more than adequate. And the headphones will go LOUD if that's what you want. You can use iPhone settings to adjust EQ to your liking. I found the 'flat' setting on the phone produced very accurate sound so I'll just leave it set as is. And the price was more than fair for a great headphone product.",Rated 5.0 out of 5,10 months ago
"Very noise canceling. Sound is very clear! I love that they fold down into the case for better storage, they also charge so quick. Downfall I have found is I feel like they are not all that comfortable on my ears. These have an outstanding battery life but sadly I find it uncomfortable to wear them for too long. I don’t know for sure if it’s the product or because I’m used to wearing earbuds instead of headphones.",Rated 4.0 out of 5,10 months ago
